timestamp,open,high,low,close,volume,session_date,hour,minute,is_rth,day_high_so_far,day_low_so_far,premarket_high,premarket_low,prev_day_high,prev_day_low,external_bias,protected_swing_high,protected_swing_low,atr,bos_flag,choch_flag,swept_level,failed_choch_confirmed,pullback_respected,internal_sweep_reclaim
2025-01-02 09:30:00-05:00,500.0762,500.1637,500.0653,500.0762,1205081,2025-01-02,9,30,True,500.1637,500.0653,,,,,none,,,,0,0,,False,True,False
2025-01-02 09:33:00-05:00,500.0762,500.1122,499.7992,499.8165,209418,2025-01-02,9,33,True,500.1637,499.7992,,,,,none,,,,0,0,,False,True,False
2025-01-02 09:36:00-05:00,499.8165,500.124,499.6772,500.0047,193387,2025-01-02,9,36,True,500.1637,499.6772,,,,,none,,,,0,0,,False,True,True
2025-01-02 09:39:00-05:00,500.0047,500.4403,499.8878,500.2408,1289704,2025-01-02,9,39,True,500.4403,499.6772,,,,,none,,,,0,0,,False,True,True
2025-01-02 09:42:00-05:00,500.2408,500.384,499.7392,499.7543,184597,2025-01-02,9,42,True,500.4403,499.6772,,,,,none,,,,0,0,,False,True,False
2025-01-02 09:45:00-05:00,499.7543,499.8774,499.279,499.4303,959359,2025-01-02,9,45,True,500.4403,499.279,,,,,none,,,,0,0,,False,True,False
2025-01-02 09:48:00-05:00,499.4303,499.5487,499.2584,499.4641,1413508,2025-01-02,9,48,True,500.4403,499.2584,,,,,none,,,,0,0,,False,True,True
2025-01-02 09:51:00-05:00,499.4641,499.648,499.2829,499.3872,960631,2025-01-02,9,51,True,500.4403,499.2584,,,,,none,,,,0,0,,False,True,True
2025-01-02 09:54:00-05:00,499.3872,499.4916,499.287,499.3855,773400,2025-01-02,9,54,True,500.4403,499.2584,,,,,none,,,,0,0,,False,True,True
2025-01-02 09:57:00-05:00,499.3855,499.421,499.164,499.175,684155,2025-01-02,9,57,True,500.4403,499.164,,,,,none,,,,0,0,,False,True,False
2025-01-02 10:00:00-05:00,499.175,499.4774,499.0156,499.398,993429,2025-01-02,10,0,True,500.4403,499.0156,,,,,none,,,,0,0,,False,True,True
